Address,Stake,Trust,Balance
16tsgVvNUuY3zHnG8AQvx4rSUorPHkLigd,5495,11787.11,182.791
1F1ZUYN4LLCsiDdba6AqyKVFGSadzok6MP,579,0.41,182.737
18PTB6hFLUtwn19CjfYdPAKB5hS9zX6mZp,1988,113542.42,182.722
1KUpW75TRsbf6qozgkdQ8qZEfG2AbB6zKX,17184,0.50,150.000
1HvbvALqAXP8qHhWWvh42FxdXuPZBGs6ov,17184,0.50,150.000
1GkdunL68SjRwCm11y21jFoULoL4jAUQWN,17184,0.50,150.000
1GZ1rFz3QNnPpH3gszkTKHwn2fD1nbkyAW,17184,0.50,150.000
1C4PtXH8yCAqJh8WjouvHqxpq2Emw3yR5M,17184,0.50,150.000
19f86uwPMNGq2g4jw4VtfWcbkLPGDoScXt,17184,0.50,150.000
16PQaU8WjtUDzsVHMBGxigaUttisX4mtdY,17184,0.50,150.000
1KUpW75TRsbf6qozgkdQ8qZEfG2AbB6zKX,17184,0.50,150.000
1HvbvALqAXP8qHhWWvh42FxdXuPZBGs6ov,17184,0.50,150.000
1GkdunL68SjRwCm11y21jFoULoL4jAUQWN,17184,0.50,150.000
1GZ1rFz3QNnPpH3gszkTKHwn2fD1nbkyAW,17184,0.50,150.000
1C4PtXH8yCAqJh8WjouvHqxpq2Emw3yR5M,17184,0.50,150.000
19f86uwPMNGq2g4jw4VtfWcbkLPGDoScXt,17184,0.50,150.000
16PQaU8WjtUDzsVHMBGxigaUttisX4mtdY,17184,0.50,150.000
16jJVWeiyVGV9rpMqimB17vCUcEkXhE1BM,0,16.32,4.573
1J8vP9BZHLbki1SPSvhmcentpHzGLviJs8,0,1015278834.23,6.351111111111111
14qvGibLBPBAfRDg23kqVtXoBBgnrQH3uM,0,1066.42,0.070
1EgayK2ozV3ZrTn9iPm3vzBnUjMw6Mf1xa,0,52.57,1.420
1P4pSRP6mZTt17TkEEA7aPMzKqUYGbYytn,0,48278.50285961009,904.9593939393909
1FGSdMCqRj42B28uACzTfDx53YaxfGftTZ,0,95251.40,0.940
1c5mjSZjnQcun1uAPKkpfs2nXSbFgH2jG,0,4035.11,0.018
14ovVv6KKsSckUY3MRUHPV7AP7renEpotJ,0,74649.60,0.001
1HAkkMEGZ6CQJ2yHinRLUY68sEoUgbsDcw,0,146.37,0.510
1MrFmsg8bHcuZaptL9QZ8m8hqRPy3kmnai,0,1492.99,0.050
19PWc5Fmcb2NERTFqp9XiwfZcRK6ySkiVm,0,1791.47,1.570
1BEJ6UurwUDv7SgT6KqqyhiLnteNLSbJhx,0,8294.279100989264,905.3133939393908
18J2BFae2ypqZWyULpL4qKF5D7jgm7E9YK,0,7857.85,0.009
17YALKwgsXboPRV5izV5MQYQHRqGiy5EF,0,21.96,3.400
12yUFkuLPWoc4ctGYJc1NHK7gAmG8nNjyN,0,71.24,1.048
1BaeE2e3T1Qm28F4ki5e9ghHJAUyxvFj7k,0,73.91,1.010
18YrQTtufRuXmzb4ny2EpPqBecRiytiyaE,0,901.05,0.083
1FzjSC1ftyYfecco44j4Z3FYJ3gdqGwQzD,0,692587.59,0.923
1LNsctsMwRE3oSbGwS57C4wq4hm32xDz1U,0,74.65,1.000
12GqPNbNE9X4mrQZt5yYxskfHmWzRq8xyk,0,1185.76,2.878
185VTF5BMGUoQePYvjtoY1ApaUsbHXzwhs,0,1849608.21,1.471
12hNwA2tFkvKoTd4j6YZbXkwBvd1DiEcYn,79,3376994.0999999996,385.001
16YFBpYQ9Cq2Zj6kxDDyheeuZkRfQHsfg8,0,149.30,0.500
1JShkXG8m8U3AVpvPzVjF43SLJFEZvbhH,1,52.33,6.010
1JML1FeX7E79RBX8JrRextwz1JfNHstync,0,14842.18,2.091
1unH3YB1fk6vjogQ4ry4tDFgLGwGiqVmz,0,1889.86,0.040
1BfkLiwjB9zciexbyoSyyvpcpicMZfQD8F,0,12163.589065952496,905.5393939393908
1ZsNAY4864m6vk1Y5GDxs794MyrsjjMXi,0,2439240038.67,4.167111111111112
1NNUugfoWyTeisaFYPbetrzABHHFugtpJV,1,1230590.35,8.604
12dsQ2xDgeccJp45q9fdVdit7zsfw3GVoi,0,19.14,3.900
1N39LHE6TkRP2FTPBUmbFEM7XBddXB7JsS,0,9189833.09,2.810
1L5sbWXjnYGqbYhEtdu6wyUA3bkcbqC1c9,0,337854.98,2.410
1DkgTMf9hdaXu86VpEzwUgqyJvCVdXU4ty,0,10469306.51,5.032
1EGPQqNn3NALGdyDQcnw7Jv86HiqcnxZBN,0,373.25,0.200
1K3wtJsN8pkHB61EWfFy5VKD1dk6UNpMLy,0,55007103.64,4.73
1KEFNFEqF761Ct1p8XLv5hPDTNrnmmE453,0,80139.47,3.000
1LJdr73XynUCdyfT1sCsZRdsnJY2pZwacf,0,746.50,0.100
16CVNfnqS9cQnZJoXD18ZSvKjULPrkGdev,0,1520234.99,2.601
1154xjbM1FXZjbqW6yke9V6bwn2x9ApFfy,0,312619.70,0.660
14tvpy9MrzCPwupD86nrZ4FR5rsgMex53V,1,808924731.47,10.444111111111111
1HKikzgb6EXPEbhDjUHDEpYuz65Ra4u4LX,0,181095.20743596306,905.0163939393909
1NHe99BekRnryDUuwekV4Me7d46tykpPwt,0,361219.39,0.000
1NTM3BfXg9S1yPfwt5mTqENcozLaa2Y9AJ,0,1324513.84,0.000
1NirrT95c6Kp4gVVT7ViaidvNbyyzBa1dC,0,13282.56,0.006
1Nx7R931CvfmqK4cQQNcTWJNYusRK5kb3S,1,24544.844121822454,905.6097272727242
1MXN3YqxNTFMYX74bbDPsQEUD1jMCViEou,0,110367.99,0.001
1MZUNwdDmyqGMY9j1V2cpdb8KEuJcR47rj,0,302086.03,0.052
1NAATYz99EomFF1P7iKaMK3jZxBo6sLF4s,0,17200.13,0.004
1NEX5RiUgSaKToS6VG9U87rrtsrL4Xe8RF,0,248327.07,0.000
1BNZ9PExkPX48jxsj5F3AKsmXrWL4BUKh2,0,30070228.93,0.390
1JJTkYKJXVMBBcsyrDHrAvRQ51j8pDV5LW,0,113838.6582283634,905.1293939393909
115BHdLZzsD9BfpwrFGZnPu6875LPnnSCf,0,24728.51,1.073
1HKXcvMgioTkaRzBb6KARP4pyiGfDiF4E,0,782107.7551829913,904.9623939393908
1C4opVwriu7DGuyhuR4KPEpbUjuXSRHp88,-2,2715344475.76,5.281777777777778
1CC9Jgop3UkSeJmzBEizwSSPVz9zP2zw8z,0,207764.94,1.000
1HY43dLEGhsb6kjb7pqq2EdxemxHEm1wuk,0,730750412.77,6.777777777777779
1DAuDPQ2ZgUciJGppfJQbCTSpFt3tAdb19,0,3732.48,0.020
1DNne8dLSB5WeejDvVpbrprnponwdZdjvV,0,39799758.84,1.070
1DYeVSmhTViQur2LqudV3GL9Qx6HJdBKue,0,2488.32,0.030
1MQyGnyJdXWTd6EeikVqx51qwVGxEhXVvN,0,74.65,1.000
1PEFDPHEBT9QDRGRuPp4BcBKUb1TrJRFGL,0,90284713.92,3.8201111111111112
1CYUhVnGmF1yT8VeDAeQSp6ZUzfKEb8YTJ,54,2090868.28,275.000
1Kymka46gDP1L5VcGTseCigoCpiR1humBb,0,74649.60,0.001
1L7r4yaBBLQyuVj2eVaQCrbqJ1ZScenTph,0,74649.60,0.001
1McKD7akC581hHZvSpx3vG8Hxdhr8xnycC,0,74649.60,0.001
12L6G2aQknxaRSMNJThzGgUkYa3puGTrnp,0,695303365.86,3.7671111111111113
12EJYfi8gCwPbbdxF1vU43HC7f9pM3hdPv,0,17478869.89,0.026
15oN5pFZP4hDSHuir8kWckQwK3B2H2KXXc,0,74.65,1.000
1683aV7HEit8ugHbr1jtbs6ng14TfCAZqb,0,19676.52,0.020
1Q8TNymNALZWWaSP7XNM29jMdwo6C2shg6,0,9008.54,0.860
1Ngmn4mFs7CPTnvoe7nJvPRnMAnEuJcauo,0,241019.80,0.030
14m8tXKYRm5TeRk64Z2tNZHkHdRUhPYwVZ,0,442433.68,4.170
1FPobpzNy39GJFTxkuwZKF5fLzzLYXigUi,0,10073.18,0.007
1W8RAKLr3qV5xBogQq2i7GZys5AG2QyT3,0,74649.60,0.001
1QAHN6GfZWdh6p2mtpXYpPkzZWoE4nMJ8i,0,74649.60,0.001
1GTwhPtHTDtZfsPog2FhWX5F7A72ySuaG,0,708348504.73,4.4801111111111105
17XzjduXgUJetK68UHMx4Yj7iiEL4b9Gcz,0,3341532.262001157,904.9403939393909
18aTEVQ1EsMW2V2MmNoCdZ6eEfuSPZVuyk,0,74649.60,0.001
1HAq8GGjSfNhuXfoUazDZwTf2vgtq5h9k5,0,8782.31,0.009
1PziwFhfvvMBx3j5Qmk92GUfTTggzTchuX,0,16588.80,0.005
15tKroqj8s6pBAgtsaB9GDMv12Hk56VNzX,0,74649.60,0.001
176RkdFWDi5Fdc4QaAv9AnwNHZDd8zBt2F,0,74649.60,0.001
1HLoD9E4SDFFPDiYfNYnkBLQ85Y51J3Zb1,295,548838306.1659374,50.010
1FvzCLoTPGANNjWoUo6jUGuAG3wg1w4YjR,266,23059517.98,50.005
15ubicBBWFnvoZLT7GiU2qxjRaKJPdkDMG,295,34846073.565,50.006
1JfbZRwdDHKZmuiZgYArJZhcuuzuw2HuMu,267,490170.39,50.005
1GkQmKAmHtNfnD3LHhTkewJxKHVSta4m2a,369,1.49,50.000
16LoW7y83wtawMg5XmT4M3Q7EdjjUmenjM,7,1.49,50.020
12cbQLTFMXRnSzktFkuoG3eHoMeFtpTu3S,40,40979.65482316974,905.5327272727242
15yN7NPEpu82sHhB6TzCW5z5aXoamiKeGy,180,1.49,50.000
1PYELM7jXHy5HhatbXGXfRpGrgMMxmpobu,409,381395.68,50.001
17abzUBJr7cnqfnxnmznn8W38s9f9EoXiq,440,1.49,50.001
1DMGtVnRrgZaji7C9noZS3a1QtoaAN2uRG,225,1.49,50.000
1CYG7y3fukVLdobqgUtbknwWKUZ5p1HVmV,304,1.49,50.036
1DJkjSqW9cX9XWdU71WX3Aw6s6Mk4C3TtN,200,1.49,50.000
1Fi7o3BKMcT82NVtnMRNqsj8aE5CWbAo4z,380,1.49,50.000
1DmKBaveG8iQA7nTGpRQ1bf8cJ7zqSMCjJ,1710,1.49,50.001
1JXLFv719ec3bzTXaSq7vqRFS634LErtJu,356,1.49,50.000
18a3JX7ZZvu5CdaqY33RxzXB3ytEjspsGq,87,1.49,50.250
1GnYgH4V4kHdYEdHwAczRHXwqxdY7xars1,80,1.41,53.000
1KzvBTUbdwNBXiTkzr1msFUtPf7Vu2zLiu,343,1.49,50.068
17iyRRXBHJKbv5DKPPkttWewm3CHdNPGQd,271,1.49,50.001
14UyXKWBcVHYcqSpxYcmR9JLZu6pArwDrd,81,4119.99,54.382
1C1QnL6oZqiRmKgaTm8XZbHccwupvJsAwG,0,15130.167139070749,904.9403939393909
13zwDGRQ2ZybwCd2vxHbKhmgJgz2VQw4VY,180,1.49,50.000
1KtCLSm38A8aaPeuWdFydAz1LcypHnRWnY,180,1.49,50.000
13y1D1V8yuWyrMN6AU2b17wMVQavXypBaN,180,1.49,50.000
1PxeCXMZBuXHt4CqWWEQ7Kwgdyob9P955L,3501,528653.6699999999,500.001
1D3UhqrfyNTaKMQiUC9ucR5o87oCgUqQuv,180,1.49,50.000
1KvH12ZiArsejDqedS8NPoGkHE43ZAqkty,180,1.49,50.000
15zaw4FQcrPsmSVXmMYJE2mSB1TK9WMKaS,180,1.49,50.000
1N7seByoiWhMirLgws65vFwnmdfeDYXted,180,1.49,50.000
1KEYrN9U77SEg4pH2AEnkuj1Z52Dj4SpTG,1,306857.81,5.040
1Do9jehEPAxLNoU69jFSrKLGN8t6eez8q8,0,1864672999.86,5.2411111111111115
1PFWhaokbA8AhqET5nmsd5QCf7yWA8nV7n,1,437578.15527282516,905.1283939393909
13bSZkMmHbuz34a5QQ3GWpqVxntqv4RnqR,0,66.06,1.130
176UZK7beManG4H7kHZvjGVUV8fbR8gdYm,0,25.48,2.930
1DygQ4V6WF5RYXD95drZqGVXZ1hKMiuTvr,0,175233.80,0.000
1PTZnfk3mRw4myEkPY9rr3nqYxwNjQosBa,2,3245.63,0.023
1CbK8Q9RHfrLPfUPJce87dst8BSArjPBpz,0,15938.03,0.005
1DGrg1czZJ58onQPb13tUSuBLJwiXJ31eu,0,136097.72,0.001
3NhmBqT375C94PaREa2NvmCXE4j5goAik1,1,4589.84,0.016
18eEq5gKWc2EvK4tTxyYN5CdUW4EjtZMv6,0,9029.13,0.008
3Muwfnc9C9TMC5oXcnXQ5nB5cqnLSG6fzG,0,325753.19,0.000
1MBdoqofaKVjMBxphpg5apx3LuYVWDYN5K,0,1271280.65,0.000
1MYFT3MWoxZxG3MAicC4i9cmgUyWuXe468,0,284000.76,0.000
12MsE4YpG43XtE433vJprKyb5AmrtA52DW,0,317874.30,0.000
139dhbm2GEhG5W1C1ZvLQYnjU1uKppzqjV,0,318742.95,0.000
1HU1GcrcrQrWT1FKwHtSiswLfW4SDeYpjD,0,319288.28,0.000
1PP63gxzTFsnL8tdr8ZC1YR3hWwhVem1N,0,315549.73,0.000
1Pb9KGstqYeyPonTe6gTPtbwdVuZX7a3yK,0,283720.12,0.000
17xMX7gRBBTLoq1NBSKMTYZLVmSXWU4n13,0,318172.36,0.000
13Sj7xossb7YTczRxCR6EmWbFniSVyMtCT,0,319479.59,0.000
13M2ccqDy3XwhZMCnfqnGPazCvdnuPYeuZ,0,315269.87,0.000
14hhdt29RwXz879DWQDKzScg8PQWH6EBaG,0,1270847.80,0.000
13tkACA9ZtgpkMgKJNuj5Ug8sE7eZfoQAL,0,1270415.25,0.000
12tkVJboWTcJHsCcQdMDWtRXSPwaEW1eAv,0,1269119.35,0.000
1KHFrnAtzvVf8cpFnMiJ8yWpX9jzRdExWa,0,1268687.97,0.000
134VbLRRXQNkEsd8LKcMBHTPM8TznQoVFR,0,283655.43,0.000
1CcJvCZy7dPyUn1KcFJzLQboWB1aTMYNAv,0,130854.02,0.001
1DL9YCg3AiCG5W1Pk1nUzHhNTJBv5GZpWq,0,318960.86,0.000
1JBHj2wu3FEy7NQ5k7WS7Haa9rehPr7rsM,0,313601.08,0.000
1N5ovZ4yDhdzkKrA8PTb94bQFDgTFFPwYR,0,283795.62,0.000
15yyZW48RbXeySrdEnZvWWRjz1yB9YgEik,0,283666.21,0.000
1KLgd5GTcZiAJNz3UhGxxAijHA2YukLcby,0,283504.61,0.000
15xiPVdTGXWB2st3ny4N7yJnRtNrZP7R6X,0,313337.81,0.000
18BZYGzXmxq521ViLNUvRn8vVNy9AzFmGq,0,204228.50,0.000
39Q3wVbzzNRC6TAcFZYNe3B7KJ1Jft5yPA,1,4163.39,0.018
353AsjPRp74VbDvoc7Jh3skP5wf6nJpmtz,0,7664.57,0.010
1DiJvugQyvbmivZdtEAeCkUsc2fZNERp1g,4,1777.79,0.042
1LMmNR9MJo6m3CryseeSVT8Qx2r9V5wR2V,61,123.90,0.602
3Ccfq6x6pV8x6HvEQ4YwZiDwE23UYmnyja,0,14925.80,0.005
15ZWSPtv9CVhrJH2st3QzTjsXsA9WpkpZX,0,2176373.18,0.000
17Hd34E15eVGDF5u7HnaKYCWB7KD1jsBt8,0,17868.16,0.004
1JU6kw4V6ao3TGk2GWFzurLkkfzZtvUZeo,0,47029.89,0.002
3GterwVJW4yWvDySDvxASLTPRGJnfGzyce,0,17253.52,0.004
1NVpmRJnAbVrDZpGYG6XmYDgKKLMiRf7JH,0,178254.93,0.000
1CtstSjKmUZ94u3vvrjfBNeirqKFZvvRNG,0,49766.40,0.002
1D4E26vhzV4XxnbMpZNMBVdSMJ9bGc4wJp,0,70165.99,0.001
14J41GAzoBEhqUJRKhmbR8445gkdqSVyXG,0,34847.49,0.002
14cYnCh5KCkYejnJ7enk7C99CwH2eiKu1P,0,302813.56,0.000
1BG8rhe8o3gagZ4t9Xg2geKHbVufrda8Sr,0,13672087.91,1.6666666666666667
15mU4uAd34csMhMM6dXUmzBZRmwbhZkb5j,1,6206.50,0.012
16uBmSG3pA4PdexC8qw1uUSFmLXYQD87eD,0,41261.11,0.002
16R4zJh5KyECp4nhnQgZCVFrqSgZnsT1Nm,0,1460567.40,0.000
1xg6vGAPFJG67PT3L6Umt917R5L3gjRfT,0,624140.72,0.010
126Bqo98W4jYBQ4GHrExT7gyUpk3hiDfwU,0,51092.07,0.001
1D3R33i38mWcwL5g2GShSLif62oZkZQ1t8,10,178160.73,0.111
1DkwjeZ9pJeiDjRd9mGt1i2hs3DBBc6qd6,0,1079332.22,0.002
1EWxuRfdjfiZqEYCCDhHu2UH1vfdnAd21z,0,3214610.31,0.006
1FC6C3sBo7wy9z1mgdMb8C8oQjgVMWE7Td,0,1078017.92,0.002
1FJaX2EqFppQSt6gpxnioTHNVBPRtgWMDt,0,908119.96,0.003
1HUU8Y3WknEC3XyiTr4xwfbNagGhjZN4Ft,2,730900.65,0.027
1JgywWizJR4GfDjVPHXwD76KXteoLbAHDL,9,213647.89,0.093
1JoUZ3arwVwScgDZ2Kj3HPeDS1P5wzVUDJ,0,841436.42,0.003
1LMqosSbHkuCzqU9NuDJpZACrtKastNHDj,0,1159810.09,0.002
1MsaXaXvKWYhUWSDobJdap1xchEjDnzqgr,0,874953.35,0.003
1NQjbv7fqFcYGeBGAZKL1Ce7hgQCaYn1b6,1,23195.12,0.014
1y4KTencbr947zJhJe3avKcfrakyuiGhc,0,804413.79,0.000
1JKxozqbw7fr78xx7hguJ9LFKFZaGA7Rac,2,3483.58,0.021
18jNaacg6sh7uwt9FsqVjT5BTE2PzrZsPp,0,10818.78,0.007
1AfCQh2ZLBdu1C9DKEepay7dqXzmqfBp46,0,834633.27,0.000
15oZExZsUXix2hchwLZE1mYxBhwNakYZC7,0,16925.43,0.004
35K47xWW5eTG2mMiszKqe7srDCz3YF2G1u,8,885.83,0.084
3EXzF9HqkP9KfevVqTn5vpG51wfDg8pi6H,1,4265.69,0.018
3Q3iCV9cmvUzgR71Xux2fjAtKjs99JUNTs,90,355.94,0.924
1nqK57ob2dhtjyJWK81EEaicWSsXTsLuK,3,2260.43,0.033
1nqcNsAATarSk4fweep467vK5NfxQa2F9,0,10664.23,0.007
16DaK9GB95Wb9jb558t35snbaGpytqNNvP,3,2087.13,0.036
1NQE7RYfLBP8gV4dpYWcgnQLt9J5ihjs9k,0,78413.45,0.001
1MNBd4ZTwZBPQ8xBTSKiG1njwue5DHiVog,0,32980.30,0.002
13s198XXzES1VR7nBCbnmufmV5a5c9NvVo,0,21803.27,0.003
1NQd941kcv5odWAcGGRi2q2SenPTMsbwjD,1,4665.60,0.016
3KPMP7gsyCSbhNZqDbd5eYbtvrH5KZ3f6U,0,13096.42,0.006
1EykueqqfHmoiJf8xvr6A7ZbWJRZuVneWG,220,34.32,2.175
1NqNhQjBY2nJmVXeYpbhSAbJgfXdX5riNa,152,49.77,1.500
1GmE2ujmr7RuEriz5G7a4T4ShJqg6MLr3a,271,27.96,2.670
1L8b41TMrUsDSnSVXNBCMNubLyeK2ngwuw,2,3476.36,0.021
16jTN2WTt5K1s6ijzEfHmyij6WSj7zoCtm,0,202923.86,0.000
1MNg2PPeRWbMxG7TmqBLVCpAgrF98RXQkU,0,826959.12,0.000
1B8pL5bQMCg68PHQfQv8vZmqG9aJq9ui72,3,2091.61,0.036
38oBjPQ4VbdPijf7yQuDBSbJRXV7AHfjZX,0,179037.29,0.000
1NqaSjhB2fuqEEtwDVtqebDLUMHqqJXzk1,10,3144.83,0.102
198RKVrJERX2d9C92jc6SLvBkFWs52yZVp,0,12897.95,0.006
1NQhBz9ZTUujdMtjTE3xT4TxpYBM2bT8Vt,2,52666.79,0.026
17DCpEC9RW2hPQ1Ht3f4j6VTzmmfLYCGRM,0,27179.31,0.003
1JhePxxSP9KimZCjwJ92cQWZtwNgVWD4nz,20,368.83,0.202
1Ws2unbomH2FqLnLnYkmfNdZ5MH3HbC5k,0,255588.04,0.000
1CPUqxd58yC57mKx8MkskpjPJk3wRQkZJJ,0,7952.05,0.009
3CKikFkigawWJZt2mfk9RoURVrqQEK1wo8,60,124.92,0.598
1A4V17tFzeVnFUm9egKcJwCwQabxJtHydc,0,13672087.91,0.000
1GqjwMLDbDAWksCJWEPzxcn6xXxTFjZF12,0,13672087.91,0.000
17P6L8TsKa3bxvVJc8QiKmg1goYqNhRwRY,0,1064416.51,0.005
1M8NQCJ8zkknRgqDLR9VgHvLxnjU8NCWwo,0,20175.57,0.004
1QCtts9on5c82FtkQxC1TXPJUF8tKzvXK5,0,120846.99,0.001
1HcdDrF1kcVcgxPv6hgYPtrtN43XUXsjkw,0,39610.95,0.002
34doh9NYCWot366QjJFTpWVnvqJSCKwmbx,1,5621.63,0.013
17VCsrJpg9JBsYhSpLsqdBsfHYfA66GQs8,1,6630.11,0.011
14tiFuStkaakaLVDhV5ArFHDLcPKCdzBXx,0,26798.39,0.003
1FXgEYFKrFWwajt1hoEUjHrubcuXZTUwXc,0,71161.27,0.001
13RAfiSvo5mzWNGPxjnjKhKs3jt1jBBpzp,11,646.37,0.115
1CZaVMBvitPgaahmscCy23dq4jUAPEqMQ1,0,820235.14,0.000
1MwvJkgcmc44Hue3LEiGV2ZFJjFFXzH3iv,1,7483.93,0.010
135i3Hu7k87fCuCBdrVrsciDonpUSWgdcr,8,942.24,0.079
14B7q9Ac2PvasLNUs8JxBapKM4n9EuuSmj,1,7481.89,0.010
15ekppDRQjNVjy7TCfjeTHj3eDPKYvznq2,4,1866.24,0.040
1BwcRsW12PD7tZNriCzb9N4NiJb1M38dYx,1,7464.61,0.010
1BqNzr4xVHcaJJ3qCjRrRoj7jQwd6R4zAx,0,147528.85,0.001
1Bsv6XaLsfFGixgbb4QV2EcdqgeYQKSNdM,0,10146.51,0.007
1GQ2YWLYPzjxYVnZihef16D3mPenuT4aTv,1,5685.12,0.013
1YttHMSVSFEgRx8gvAULrv3cxAio7iHJ3,0,1820721.95,0.000
18pQtQxFrbw5tpKKFnvJ3pBnoL8ywHu9LN,0,13667.16,0.005
1NQKUsPyH8JkSEBYYQ5TqA32TEwSLbP5Wr,1,722185.78,0.010
1Gs3szLq3okz2gHk3K7upRxnfLn8z1XPJ,0,27088.47,0.003
1Apg6R3teAZCAfnqxcvWzgtaUZ9682LvjX,0,101841.20,0.001
3PBK7LShhfCCKgZ13YraJPdR5ayAZutMAb,1,6024.71,0.012
3DWT5gnYjcDqv1VGcLkBtxEEE4ZoUYdB9d,0,62730.76,0.001
3HP8LdneQAy9cPbEezSdN8hSJA1ThoFCRr,3,2404.68,0.031
1HgoPupj9BQ61CWWUx4hAccafEo7Mkn85P,0,89447.85,0.001
1LLixX5SNEdtZ6d8N697QFQtJcf1fpQTMT,0,34212.65,0.002
1PWitcfmu57MJrtYS5bVbkZYe6svWS6yLB,0,14825.81,0.005
1K3u1jE8vdu6bEE3WX5Yi7cJGykaVMDk7b,0,58495.94,0.001
3Gb1cbwoQzNkj3KUZQRbvxTdMe9RivQtF5,0,13322.10,0.006
3MiUAVBhv3KAe6EaxY5111egTcVAquoXij,5,1492.99,0.050
3G3cdNSa24mKRQorqTEKAr1sEBjBkPAh6M,0,30262.21,0.002
1Q7PvJqYdjRpQGZcFBVS9fCXCDvqsDkMB5,0,157485.05,0.008
15X9HUzAFv1fZ44q5EAtcM2tghPFDdyqJ7,31,240.45,0.310
19wCAJF2vxPXHG5DZMJahAiej29Xxv1cJ7,1,4124.29,0.018
178eHLWbY57y7ZbeuHrX628dfdyqVsfLLU,0,31312.62,0.002
191pWA13oTL4aRs6oA46gCVMvfRzY6yzkp,0,114493.25,0.001
199PEWC8Jnj3oo1VViFfcsGvthoBMgAZnM,1,4033.13,0.019
1MrAY4ejibVtqXUCqJ2BkHjWfCctDnXqu8,4,1758.33,0.042
17iGaHruNBY9pjmaCBWY4xKkoQnbJh6HTH,0,10020.35,0.007
14bYhuJDQVQRSQARYdYc5AgWAJc38JUg5s,514,14.72,5.070
1Ahpcp1fB56Jyz2DcLU2ERawDaa2Y5XHFX,1,7560.95,0.010
34rSFxW8ZyJL8nF9x7BTPGWcRnNS349tAs,0,9247.97,0.008
19LksEMKVb9CxHQDtFZxDsxtRNioru7dUE,1,7104.15,0.011
19FswAkArLA4H9rZpwum3rhQYN88PGM3Qi,0,1455725.43,0.000
1rAwGnVRZbNSBZ1snpX2Q9JD27eEuiRUH,0,25364.45,0.003
14ZYPU8214QKEnEfjV43k7DkJ2E3xtKj7K,2,3507.60,0.021
3JmeYwwoVLqeFCejugHNfL2afEiQbDN4ou,1,6315.53,0.012
1AJMVEGYQF8xndRVkS2e9M3AykJLYXG4g6,3,1901.21,0.039
3BMEXi9EVwSDntyCp9uXDiSeJkCeZywvtz,1,6109.45,0.012
3PYYdLYfpysB1GSqEJDYaZbWLLtMDn2e6h,0,44552.30,0.002
17TNqUZXbmxk5jynG7EXEuoRMhQgULTTDx,0,31712.48,0.002
